Word,Count
york,28
new,19
texas,13
city,12
california,10
illinois,9
ohio,6
and,5
minnesota,4
jersey,4
massachusetts,4
washington,3
michigan,3
georgia,3
virginia,3
florida,3
arkansas,2
pennsylvania,2
connecticut,2
energypetroleum,2
dc,2
north,2
carolina,2
tennessee,2
county,2
insurance,2
ranknameindustryrevenue,1
usd,1
millionsrevenue,1
growthemployeesheadquarters,1
